date,quantity,unit_price,shipment_price,total_price,status,quarter,month,year,category,product,customer,city,state,postal_code,country,region,dealsize
2004-05-27 14:30:00,40,100.0,4614.82,8014.82,Shipped,3,5,2004,Classic Cars,S10_1949,Amica Models & Co.,Torino,,10100,Italy,EMEA,Large
2004-06-20 23:30:00,51,70.0,3436.19,7136.19,Shipped,3,6,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,EMEA,Large
2004-05-12 23:30:00,47,100.0,5472.7,10172.7,Shipped,4,5,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,Versailles,,78000,France,EMEA,Large
2004-11-27 12:00:00,48,70.0,6823.7,11623.7,Shipped,4,11,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,NA,Large
2004-09-07 12:30:00,64,120.0,2000.4,6000.4,Shipped,4,9,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,Nashua,NH,62005,USA,NA,Medium
2004-10-15 10:30:00,41,150.0,403.0,3003.0,Shipped,4,10,2004,Classic Cars,S10_1949,Mini Wheels Co.,San Francisco,CA,,USA,NA,Medium
2004-06-27 05:00:00,30,100.0,944.7,3944.7,Shipped,4,6,2004,Classic Cars,S10_1949,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Medium
2004-06-07 17:00:00,32,170.0,2491.84,5691.84,Shipped,4,6,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,NA,Medium
2005-09-13 12:00:00,41,70.0,414.92,4514.92,Shipped,1,9,2005,Classic Cars,S10_1949,Collectables For Less Inc.,Brickhaven,MA,58339,USA,NA,Medium
2005-03-10 10:30:00,36,100.0,4654.8,8254.8,Shipped,1,3,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,San Francisco,CA,,USA,NA,Large
2005-09-06 15:45:00,26,100.0,16.56,2416.56,Shipped,1,9,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia,APAC,Small
2005-01-13 22:15:00,23,100.0,1840.23,4140.23,Shipped,2,1,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada,NA,Medium
2005-08-05 17:15:00,50,100.0,7001.0,12001.0,In Process,2,8,2005,Classic Cars,S10_1949,Euro Shopping Channel,Madrid,,28034,Spain,EMEA,Large
2003-02-17 22:10:00,39,109.9,0.0,3896.49,Shipped,1,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,NA,Medium
2003-09-20 20:45:00,31,192.68,0.0,2793.86,Shipped,2,9,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Small
2003-11-19 05:35:00,21,190.0,607.77,3307.77,Shipped,3,11,2003,Motorcycles,S10_2016,Lyon Souveniers,Paris,,75508,France,EMEA,Medium
2003-09-27 15:50:00,37,80.0,1492.95,5192.95,Shipped,3,9,2003,Motorcycles,S10_2016,Toys4GrownUps.com,Pasadena,CA,90003,USA,NA,Medium
2003-09-02 06:25:00,37,100.0,1316.83,5016.83,Shipped,4,9,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,San Francisco,CA,,USA,NA,Medium
2003-05-28 08:20:00,27,100.0,960.93,3660.93,Shipped,4,5,2003,Motorcycles,S10_2016,Technics Stores Inc.,Burlingame,CA,94217,USA,NA,Medium
2003-06-01 06:45:00,25,100.0,495.6,4695.6,Shipped,4,6,2003,Motorcycles,S10_2016,Daedalus Designs Imports,Lille,,59000,France,EMEA,Medium
2003-07-12 01:15:00,53,154.14,0.0,3660.92,Shipped,4,7,2003,Motorcycles,S10_2016,Herkku Gifts,Bergen,,N 5804,Norway,EMEA,Medium
2003-02-02 13:05:00,24,150.0,625.92,3025.92,Shipped,4,2,2003,Motorcycles,S10_2016,Mini Wheels Co.,San Francisco,CA,,USA,NA,Medium
2004-06-02 00:30:00,23,100.0,709.09,3009.09,Shipped,1,6,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan,Japan,Medium
2004-09-21 08:00:00,47,140.0,722.39,5422.39,Shipped,1,9,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Medium
2004-03-26 07:30:00,28,100.0,652.08,2852.08,Shipped,2,3,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA,NA,Small
2004-12-09 16:30:00,61,100.0,1356.52,5756.52,Shipped,2,12,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,Newark,NJ,94019,USA,NA,Medium
2004-10-23 20:00:00,56,100.0,472.0,4472.0,Shipped,2,10,2004,Motorcycles,S10_2016,Gift Depot Inc.,Bridgewater,CT,97562,USA,NA,Medium
2004-04-24 13:30:00,28,100.0,704.44,2904.44,Shipped,3,4,2004,Motorcycles,S10_2016,La Rochelle Gifts,Nantes,,44000,France,EMEA,Small
2004-01-06 23:00:00,65,100.0,1784.59,6484.59,Shipped,3,1,2004,Motorcycles,S10_2016,Marta's Replicas Co.,Cambridge,MA,51247,USA,NA,Medium
2004-05-08 09:00:00,39,173.41,0.0,3757.26,Shipped,3,5,2004,Motorcycles,S10_2016,Atelier graphique,Nantes,,44000,France,EMEA,Medium
2004-06-14 18:00:00,34,50.0,643.96,4043.96,Shipped,4,6,2004,Motorcycles,S10_2016,Mini Classics,White Plains,NY,24067,USA,NA,Medium
2004-09-09 03:30:00,45,150.0,1066.5,5566.5,Shipped,4,9,2004,Motorcycles,S10_2016,Diecast Classics Inc.,Allentown,PA,70267,USA,NA,Medium
2004-06-23 23:00:00,36,180.0,1176.0,3176.0,Shipped,4,6,2004,Motorcycles,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,NA,Medium
2004-06-10 16:30:00,40,68.92,0.0,2756.8,Shipped,4,6,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan,Japan,Small
2004-03-24 03:30:00,36,51.15,0.0,1329.9,Shipped,4,3,2004,Motorcycles,S10_2016,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,APAC,Small
2005-03-29 10:45:00,19,200.0,1388.01,5288.01,Shipped,1,3,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia,APAC,Medium
2005-09-02 20:30:00,35,35.61,0.0,2225.5,Shipped,1,9,2005,Motorcycles,S10_2016,FunGiftIdeas.com,New Bedford,MA,50553,USA,NA,Small
2005-10-26 02:00:00,58,150.0,1333.8,5833.8,Shipped,2,10,2005,Motorcycles,S10_2016,Auto Canal Petit,Paris,,75016,France,EMEA,Medium
2005-02-09 13:00:00,45,100.0,1387.35,5887.35,Disputed,2,2,2005,Motorcycles,S10_2016,Euro Shopping Channel,Madrid,,28034,Spain,EMEA,Medium
2003-08-05 08:55:00,27,80.0,3365.55,6065.55,Shipped,1,8,2003,Motorcycles,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,NA,Medium
2003-12-22 03:15:00,46,100.0,4664.86,9264.86,Shipped,2,12,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Large
2003-02-06 20:05:00,37,200.0,3923.98,7023.98,Shipped,3,2,2003,Motorcycles,S10_4698,Lyon Souveniers,Paris,,75508,France,EMEA,Large
2003-02-28 07:05:00,33,100.0,1876.38,5176.38,Shipped,3,2,2003,Motorcycles,S10_4698,Toys4GrownUps.com,Pasadena,CA,90003,USA,NA,Medium
2003-08-26 02:45:00,22,120.0,1932.7,4132.7,Shipped,4,8,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,San Francisco,CA,,USA,NA,Medium
2003-08-04 07:10:00,14,100.0,2183.0,4183.0,Shipped,4,8,2003,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,NA,Medium
2003-01-11 17:30:00,77,170.0,4792.9,8892.9,Shipped,4,1,2003,Motorcycles,S10_4698,Daedalus Designs Imports,Lille,,59000,France,EMEA,Large
2003-12-10 16:35:00,45,120.0,4214.7,8714.7,Shipped,4,12,2003,Motorcycles,S10_4698,Herkku Gifts,Bergen,,N 5804,Norway,EMEA,Large
2003-05-07 23:05:00,49,100.0,3165.89,8065.89,Shipped,4,5,2003,Motorcycles,S10_4698,Mini Wheels Co.,San Francisco,CA,,USA,NA,Large
2004-09-16 04:30:00,34,100.0,2723.4,6123.4,Shipped,1,9,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,Osaka,Osaka,530-0003,Japan,Japan,Medium
2004-01-03 10:30:00,78,170.0,4874.03,9774.03,Shipped,1,1,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Large
2004-03-18 17:30:00,39,150.0,3123.9,7023.9,Shipped,2,3,2004,Motorcycles,S10_4698,Vitachrome Inc.,NYC,NY,10022,USA,NA,Large
2004-04-08 14:00:00,43,100.0,2778.23,7078.23,Shipped,2,4,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,Newark,NJ,94019,USA,NA,Large
2004-08-13 01:30:00,57,70.0,4236.94,8336.94,Shipped,2,8,2004,Motorcycles,S10_4698,Gift Depot Inc.,Bridgewater,CT,97562,USA,NA,Large
2004-04-01 00:00:00,36,90.0,3301.92,6901.92,Shipped,3,4,2004,Motorcycles,S10_4698,La Rochelle Gifts,Nantes,,44000,France,EMEA,Medium
2004-05-07 00:30:00,48,100.0,2738.07,5438.07,Shipped,3,5,2004,Motorcycles,S10_4698,Marta's Replicas Co.,Cambridge,MA,51247,USA,NA,Medium
2004-10-26 19:30:00,20,100.0,3783.34,6683.34,Shipped,3,10,2004,Motorcycles,S10_4698,"Toys of Finland, Co.",Helsinki,,21240,Finland,EMEA,Medium
2004-09-23 12:00:00,24,100.0,2570.4,4570.4,Shipped,4,9,2004,Motorcycles,S10_4698,Mini Classics,White Plains,NY,24067,USA,NA,Medium
2004-10-08 16:00:00,25,100.0,3967.14,7667.14,Shipped,4,10,2004,Motorcycles,S10_4698,Diecast Classics Inc.,Allentown,PA,70267,USA,NA,Large
2004-05-08 15:30:00,26,100.0,3268.2,5868.2,Shipped,4,5,2004,Motorcycles,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,NA,Medium
2004-04-09 16:00:00,39,53.67,0.0,2990.13,Shipped,4,4,2004,Motorcycles,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Tokyo,106-0032,Japan,Japan,Small
2005-08-02 16:15:00,22,100.0,1464.1,3664.1,Shipped,1,8,2005,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,NA,Medium
2005-11-20 04:15:00,22,90.0,1634.38,3834.38,Shipped,1,11,2005,Motorcycles,S10_4698,"Australian Gift Network, Co",South Brisbane,Queensland,4101,Australia,APAC,Medium
2005-06-05 03:00:00,21,86.77,0.0,1822.17,Shipped,1,6,2005,Motorcycles,S10_4698,FunGiftIdeas.com,New Bedford,MA,50553,USA,NA,Small
2005-04-29 15:00:00,33,80.0,5286.6,11886.6,Shipped,2,4,2005,Motorcycles,S10_4698,"UK Collectables, Ltd.",Liverpool,,WX1 6LT,UK,EMEA,Large
2005-08-10 06:45:00,56,100.0,3618.16,9218.16,Disputed,2,8,2005,Motorcycles,S10_4698,Euro Shopping Channel,Madrid,,28034,Spain,EMEA,Large
2003-11-05 06:50:00,50,160.0,2208.0,7208.0,Shipped,1,11,2003,Classic Cars,S10_4757,Danish Wholesale Imports,Kobenhavn,,1734,Denmark,EMEA,Large
2003-09-15 12:00:00,46,90.0,404.8,5004.8,Shipped,2,9,2003,Classic Cars,S10_4757,Salzburg Collectables,Salzburg,,5020,Austria,EMEA,Medium
2003-02-23 06:55:00,33,130.0,1098.24,4398.24,Shipped,2,2,2003,Classic Cars,S10_4757,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK,EMEA,Medium
2003-12-14 15:00:00,63,100.0,697.76,5597.76,Shipped,3,12,2003,Classic Cars,S10_4757,Mini Creations Ltd.,New Bedford,MA,50553,USA,NA,Medium
2003-05-11 12:55:00,32,190.0,1326.08,4526.08,Shipped,4,5,2003,Classic Cars,S10_4757,"Toys of Finland, Co.",Helsinki,,21240,Finland,EMEA,Medium
2003-03-27 20:00:00,88,100.0,1524.16,5924.16,Cancelled,4,3,2003,Classic Cars,S10_4757,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,EMEA,Medium
2003-02-12 13:25:00,16,100.0,1092.48,3492.48,Shipped,4,2,2003,Classic Cars,S10_4757,Alpha Cognac,Toulouse,,31000,France,EMEA,Medium
2003-03-23 13:00:00,33,60.0,1254.24,3854.24,Shipped,4,3,2003,Classic Cars,S10_4757,"Double Decker Gift Stores, Ltd",London,,WA1 1DP,UK,EMEA,Medium
2003-09-25 03:45:00,76,120.0,824.4,5324.4,Shipped,4,9,2003,Classic Cars,S10_4757,Enaco Distributors,Barcelona,,8022,Spain,EMEA,Medium
2004-09-26 18:00:00,74,100.0,1297.92,5197.92,Shipped,1,9,2004,Classic Cars,S10_4757,"Men 'R' US Retailers, Ltd.",Los Angeles,CA,,USA,NA,Medium
2004-06-04 17:30:00,49,70.0,1097.6,5997.6,Shipped,1,6,2004,Classic Cars,S10_4757,Collectable Mini Designs Co.,San Diego,CA,91217,USA,NA,Medium
2004-04-10 18:00:00,20,110.0,910.4,2910.4,Cancelled,2,4,2004,Classic Cars,S10_4757,Land of Toys Inc.,NYC,NY,10022,USA,NA,Small
2004-07-02 21:30:00,13,100.0,678.24,3378.24,Shipped,2,7,2004,Classic Cars,S10_4757,Quebec Home Shopping Network,Montreal,Quebec,H1J 1C3,Canada,NA,Medium
2004-11-12 08:00:00,30,100.0,508.8,3508.8,Shipped,3,11,2004,Classic Cars,S10_4757,Petit Auto,Bruxelles,,B-1180,Belgium,EMEA,Medium
2004-01-12 15:30:00,27,100.0,492.0,2992.0,Shipped,3,1,2004,Classic Cars,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,BC,T2F 8M4,Canada,NA,Small
2004-09-19 23:30:00,24,50.0,1027.2,3427.2,Shipped,3,9,2004,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,NA,Medium
2004-04-22 09:30:00,24,100.0,492.8,2692.8,Shipped,4,4,2004,Classic Cars,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA,NA,Small
2004-02-16 01:00:00,62,100.0,828.96,4128.96,Shipped,4,2,2004,Classic Cars,S10_4757,giftsbymail.co.uk,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,Medium
2004-08-07 02:30:00,65,51.94,0.0,3051.71,Shipped,4,8,2004,Classic Cars,S10_4757,Baane Mini Imports,Stavern,,4110,Norway,EMEA,Medium
2004-03-18 04:30:00,25,48.05,0.0,1201.25,Shipped,4,3,2004,Classic Cars,S10_4757,Classic Legends Inc.,NYC,NY,10022,USA,NA,Small
2004-08-07 15:30:00,46,75.47,0.0,1962.22,Shipped,4,8,2004,Classic Cars,S10_4757,Euro Shopping Channel,Madrid,,28034,Spain,EMEA,Small
2004-10-19 18:30:00,43,54.68,0.0,2624.64,Shipped,4,10,2004,Classic Cars,S10_4757,Reims Collectables,Reims,,51100,France,EMEA,Small
2005-04-27 08:15:00,50,100.0,146.25,4046.25,Shipped,1,4,2005,Classic Cars,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,,90110,Finland,EMEA,Medium
2005-11-23 05:15:00,34,100.0,1446.7,4846.7,Shipped,1,11,2005,Classic Cars,S10_4757,Corporate Gift Ideas Co.,San Francisco,CA,,USA,NA,Medium
2005-01-23 01:15:00,32,100.0,170.56,3370.56,Shipped,1,1,2005,Classic Cars,S10_4757,Lyon Souveniers,Paris,,75508,France,EMEA,Medium
2005-05-17 21:00:00,64,140.0,3261.44,9661.44,Shipped,2,5,2005,Classic Cars,S10_4757,The Sharp Gifts Warehouse,San Jose,CA,94217,USA,NA,Large
2005-03-24 21:15:00,11,80.0,864.88,2764.88,On Hold,2,3,2005,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,NA,Small
2003-02-15 18:40:00,42,90.0,1198.26,5398.26,Shipped,1,2,2003,Classic Cars,S10_4962,Baane Mini Imports,Stavern,,4110,Norway,EMEA,Medium
2003-10-15 21:35:00,31,100.0,1205.28,4305.28,Shipped,2,10,2003,Classic Cars,S10_4962,"La Corne D'abondance, Co.",Paris,,75012,France,EMEA,Medium
2003-10-29 11:45:00,19,160.0,1147.74,3347.74,Shipped,2,10,2003,Classic Cars,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,,28023,Spain,EMEA,Medium
2003-01-02 18:55:00,44,120.0,588.12,3188.12,Shipped,3,1,2003,Classic Cars,S10_4962,Technics Stores Inc.,Burlingame,CA,94217,USA,NA,Medium
2003-04-30 02:15:00,20,170.0,1191.2,3191.2,Shipped,3,4,2003,Classic Cars,S10_4962,"Dragon Souveniers, Ltd.",Singapore,,79903,Singapore,Japan,Medium
2003-09-09 10:05:00,29,100.0,1436.82,3536.82,Resolved,4,9,2003,Classic Cars,S10_4962,Mini Auto Werke,Graz,,8010,Austria,EMEA,Medium
2003-10-07 16:10:00,39,100.0,2062.83,5362.83,Shipped,4,10,2003,Classic Cars,S10_4962,"Stylish Desk Decors, Co.",London,,WX3 6FW,UK,EMEA,Medium
2003-11-07 18:55:00,22,100.0,633.36,3433.36,Shipped,4,11,2003,Classic Cars,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,PA,71270,USA,NA,Medium
2003-12-22 11:50:00,13,70.0,1663.74,4263.74,Shipped,4,12,2003,Classic Cars,S10_4962,"Saveley & Henriot, Co.",Lyon,,69004,France,EMEA,Medium
2003-02-21 20:35:00,31,100.0,976.19,4076.19,Shipped,4,2,2003,Classic Cars,S10_4962,Diecast Collectables,Boston,MA,51003,USA,NA,Medium
2004-09-18 02:00:00,48,100.0,2220.48,7020.48,Shipped,1,9,2004,Classic Cars,S10_4962,Handji Gifts& Co,Singapore,,69045,Singapore,APAC,Large
2004-10-27 15:00:00,50,100.0,1426.5,6426.5,Shipped,1,10,2004,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,NA,Medium
2004-11-04 11:30:00,28,130.0,1791.72,4591.72,Shipped,2,11,2004,Classic Cars,S10_4962,Super Scale Inc.,New Haven,CT,97823,USA,NA,Medium
2004-04-02 08:30:00,26,100.0,1433.38,4033.38,Shipped,2,4,2004,Classic Cars,S10_4962,Handji Gifts& Co,Singapore,,69045,Singapore,APAC,Medium
2004-12-11 01:00:00,60,100.0,1102.08,4302.08,Shipped,3,12,2004,Classic Cars,S10_4962,Souveniers And Things Co.,Chatswood,NSW,2067,Australia,APAC,Medium
2004-10-09 05:00:00,30,60.0,2620.64,7020.64,Shipped,3,10,2004,Classic Cars,S10_4962,Diecast Classics Inc.,Allentown,PA,70267,USA,NA,Large
2004-03-17 09:00:00,30,150.0,855.9,3855.9,Shipped,3,3,2004,Classic Cars,S10_4962,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,EMEA,Medium
2004-11-18 07:00:00,38,100.0,2880.78,6680.78,Shipped,4,11,2004,Classic Cars,S10_4962,Marta's Replicas Co.,Cambridge,MA,51247,USA,NA,Medium
2004-04-11 07:00:00,40,160.0,2678.0,6678.0,Shipped,4,4,2004,Classic Cars,S10_4962,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada,NA,Medium
2004-10-12 11:00:00,46,61.99,0.0,2851.54,Shipped,4,10,2004,Classic Cars,S10_4962,Online Diecast Creations Co.,Nashua,NH,62005,USA,NA,Small
2004-03-15 11:30:00,26,110.0,588.12,3188.12,On Hold,4,3,2004,Classic Cars,S10_4962,"Volvo Model Replicas, Co",Lule,,S-958 22,Sweden,EMEA,Medium
2004-09-17 00:00:00,27,100.0,1728.0,4428.0,Shipped,4,9,2004,Classic Cars,S10_4962,"Australian Collectors, Co.",Melbourne,Victoria,3004,Australia,APAC,Medium
2004-01-24 00:30:00,43,100.0,1480.92,5780.92,Shipped,4,1,2004,Classic Cars,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,NA,Medium
2005-03-15 00:00:00,35,65.63,0.0,2297.05,Shipped,1,3,2005,Classic Cars,S10_4962,"Anna's Decorations, Ltd",North Sydney,NSW,2060,Australia,APAC,Small
